INFO:Initialization...
INFO:MCS2 opened usb:ix:0.
INFO:Position increased of: [1000.0, 0.0]
INFO:Position increased of: [1000.0, 0.0]
INFO:Position increased of: [100000.0, 0.0]
INFO:Position increased of: [100000.0, 0.0]
INFO:Position increased of: [1000000.0, 0.0]
INFO:Position increased of: [-1000000.0, 0.0]
INFO:Position increased of: [0.0, 1000000.0]
INFO:Position increased of: [0.0, -1000000.0]
INFO:Position increased of: [1000000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, 100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, -100000.0, 0.0]
INFO:Position increased of: [0.0, 0.0, 1000000.0]
INFO:Position increased of: [0.0, 0.0, -1000000.0]
INFO:Position increased of: [100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [-100000.0, 0.0, 0.0]
INFO:Position increased of: [100000.0, 0.0, 0.0]
INFO:Position increased of: [100000.0, 0.0, 0.0]
